timestamp,open,high,low,close,volume,RSI,EMA20,OBV,MACD,ATR,Target
2026-01-12 22:55:00,91190.9,91240.8,91190.9,91200.1,49.8885,53.807454574777765,91260.78436857808,-571.3366999999998,-16.842286304206937,119.85400619261938,0
2026-01-12 23:00:00,91200.1,91248.8,91025.6,91035.4,185.1706,45.142002985176795,91239.31919061826,-756.5072999999999,-32.61162994094775,127.23586289314636,1
2026-01-12 23:05:00,91035.5,91134.3,91035.5,91096.5,91.6545,48.45820218435796,91225.71736294034,-664.8527999999999,-39.72081222111592,125.21187268649368,1
2026-01-12 23:10:00,91096.5,91153.4,91082.2,91118.9,106.2836,49.659659385538994,91215.54428075555,-558.5691999999999,-43.05113096233981,121.35388178031535,1
2026-01-12 23:15:00,91118.9,91150.0,91092.8,91130.6,55.5846,50.311182651084444,91207.45434925503,-502.9845999999999,-44.23641053492611,116.77146165314976,1
2026-01-12 23:20:00,91130.6,91198.0,91120.0,91198.0,59.9154,54.00427341151486,91206.55393504025,-443.0691999999999,-39.28429156150378,114.00207153506763,1
2026-01-12 23:25:00,91198.0,91250.0,91185.8,91227.2,93.6312,55.545802532343714,91208.52022694118,-349.4379999999999,-32.627397305259365,110.44478071113402,1
2026-01-12 23:30:00,91227.1,91274.7,91171.2,91188.6,154.1088,53.01631288180134,91206.6230624706,-503.54679999999985,-30.11926195002161,109.94872494605302,0
2026-01-12 23:35:00,91188.6,91232.4,91150.0,91212.1,63.3862,54.378438155229034,91207.14467556863,-440.1605999999998,-25.93631531043502,107.9809588784774,0
2026-01-12 23:40:00,91212.1,91236.6,91207.8,91231.0,42.9028,55.49593991050917,91209.41661122876,-397.2577999999998,-20.85581506221206,102.3251761014435,1
2026-01-12 23:45:00,91231.0,91231.0,91176.9,91181.1,60.7605,51.88248796422635,91206.71979111174,-458.0182999999998,-20.618319824294304,98.88052066562652,1
2026-01-12 23:50:00,91181.1,91218.0,91181.0,91196.7,81.2686,52.91466797829315,91205.76552529157,-376.7496999999998,-18.952837004573666,94.46048347522462,1
2026-01-12 23:55:00,91196.7,91265.7,91196.6,91250.2,102.0233,56.37119138972997,91209.99738002571,-274.7263999999998,-13.164178533217637,92.6490203698508,1
2026-01-13 00:00:00,91250.3,91333.3,91216.9,91325.1,279.3484,60.718808030687136,91220.95953430899,4.6220000000002415,-2.5039568985957885,94.34551891486208,0
2026-01-13 00:05:00,91325.0,91366.0,91249.1,91308.0,111.7867,59.26673693184763,91229.24910247004,-107.16469999999975,4.512501155841164,95.9565532780858,1
2026-01-13 00:10:00,91307.9,91381.8,91282.0,91284.6,136.3367,57.249123697277795,91234.52061652052,-243.50139999999976,8.091634946031263,96.23108518679418,1
2026-01-13 00:15:00,91284.5,91326.9,91259.9,91259.9,53.791,55.116215941588585,91236.93770066141,-297.29239999999976,8.833216862025438,94.1431505305946,1
2026-01-13 00:20:00,91259.9,91462.3,91250.0,91424.2,166.8445,64.5716152823175,91254.77220536032,-130.44789999999975,22.42011760119931,102.5829254926952,0
2026-01-13 00:25:00,91424.1,91513.2,91398.8,91400.1,307.7569,62.49201854751634,91268.61294770696,-438.20479999999975,30.88711826465442,103.42700224321655,0
2026-01-13 00:30:00,91400.1,91454.4,91400.0,91454.0,79.8362,65.19207022490193,91286.26885744916,-358.36859999999973,41.4685333911184,99.92507351155781,0
2026-01-13 00:35:00,91454.0,91509.5,91351.6,91363.0,180.9416,57.647013531530746,91293.57658531114,-539.3101999999997,42.02698075924127,104.06613968930327,0
2026-01-13 00:40:00,91363.0,91382.0,91211.2,91266.8,176.5394,50.935688412021236,91291.02643432912,-715.8495999999997,34.31149672277388,108.83284399721039,1
2026-01-13 00:45:00,91266.8,91324.1,91261.6,91324.1,53.5526,54.34512674487868,91294.17629772634,-662.2969999999997,32.44652778566524,105.52335514026679,1
2026-01-13 00:50:00,91324.0,91361.8,91312.6,91361.8,75.3263,56.487534978576704,91300.61665032383,-586.9706999999996,33.623016193523654,101.50025834453324,1
2026-01-13 00:55:00,91361.8,91468.5,91345.0,91434.2,105.7087,60.336855934853894,91313.33887410251,-481.2619999999996,39.93709667040093,103.07166846278086,0
2026-01-13 01:00:00,91434.2,91475.8,91354.8,91401.2,165.4188,57.825823512563616,91321.70660037847,-646.6807999999996,41.796423577703536,104.35226357258223,0
2026-01-13 01:05:00,91401.2,91511.7,91401.2,91441.0,94.5957,59.9885790608445,91333.0678765329,-552.0850999999997,45.95177743866225,104.79138760311207,0
2026-01-13 01:10:00,91441.0,91456.0,91405.3,91431.6,83.7682,59.21619941784373,91342.45188829167,-635.8532999999996,47.93387203128077,100.92771706003244,0
2026-01-13 01:15:00,91431.6,91431.6,91323.1,91356.9,48.7547,53.338827906339354,91343.82789893057,-684.6079999999996,42.98156583425589,101.46859441288727,0
2026-01-13 01:20:00,91357.0,91393.0,91330.0,91331.2,76.5733,51.446923337286385,91342.62524188956,-761.1812999999996,36.561592992336955,98.72083766910961,0
2026-01-13 01:25:00,91331.2,91352.3,91250.0,91287.5,135.4035,48.3091731833289,91337.37521885245,-896.5847999999996,27.629003523659776,98.97649212131628,0
